No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
ID_0001,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,3.661017,0,human,cervix,72,MTT,1.93,Small
ID_0002,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,48.47682,0,human,cervix,48,NR,1.93,Small
ID_0003,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,65.960266,0,human,cervix,24,NR,1.93,Small
ID_0004,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,23.713354,0,human,skin,48,NR,1.93,Small
ID_0005,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,20.521173,0,human,skin,72,NR,1.93,Small
ID_0006,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,21.889252,0,human,skin,48,NR,1.93,Small
ID_0007,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,3.986711,0,human,skin,72,MTT,1.93,Small
ID_0008,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,18.305084,0,human,cervix,24,MTT,1.93,Small
ID_0009,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,32.083332,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0010,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,11.561461,0,human,skin,24,MTT,1.93,Small
ID_0011,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,6.7774086,0,human,skin,72,MTT,1.93,Small
ID_0012,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,5.9800663,0,human,skin,48,MTT,1.93,Small
ID_0013,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,9.568107,0,human,skin,24,MTT,1.93,Small
ID_0014,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,4.385382,0,human,skin,72,MTT,1.93,Small
ID_0015,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,3.1893687,0,human,skin,48,MTT,1.93,Small
ID_0016,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,4.385382,0,human,skin,48,MTT,1.93,Small
ID_0017,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,6.3787374,0,human,skin,24,MTT,1.93,Small
ID_0018,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,5.6949153,0,human,cervix,48,MTT,1.93,Small
ID_0019,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,9.1694355,0,human,skin,48,MTT,1.93,Small
ID_0020,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,12.358804,0,human,skin,24,MTT,1.93,Small
ID_0021,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,17.940199,0,human,skin,72,MTT,1.93,Small
